sta_code,sta_name,lost_count,throughput_window,loss_rate_per_100k,high_value_share,residual
7230,頭城,171,1080293.0,15.83,0.287,1.37
5240,康樂,3,12140.0,24.71,0.0,1.295
4340,新左營,936,11057916.0,8.46,0.316,1.237
4440,鳳山,369,4926834.0,7.49,0.236,1.135
3250,潭子,156,2155512.0,7.24,0.218,1.071
6160,光復,34,451044.0,7.54,0.353,0.995
3390,員林,361,7002526.0,5.16,0.332,0.994
1040,樹林,632,13497168.0,4.68,0.229,0.991
7190,宜蘭,220,4023809.0,5.47,0.309,0.986
1150,北湖,52,756514.0,6.87,0.269,0.986
1080,桃園,893,25651779.0,3.48,0.514,0.901
1020,板橋,723,22046657.0,3.28,0.495,0.866
4120,新營,181,4782129.0,3.78,0.348,0.837
7332,十分,31,621823.0,4.99,0.452,0.835
7360,瑞芳,150,4069204.0,3.69,0.4,0.816
7333,望古,2,27511.0,7.27,0.0,0.813
6110,玉里,68,1698073.0,4.0,0.338,0.8
3340,新烏日,211,6437637.0,3.28,0.299,0.792
7110,永樂,1,13776.0,7.26,1.0,0.771
1210,新竹,495,18373754.0,2.69,0.343,0.77
4310,岡山,86,2446418.0,3.52,0.36,0.765
1193,竹中,25,648477.0,3.86,0.24,0.726
1100,中壢,538,22903710.0,2.35,0.366,0.723
4430,正義,36,1083402.0,3.32,0.306,0.692
3230,豐原,181,7159903.0,2.53,0.348,0.686
7160,羅東,123,4595301.0,2.68,0.463,0.684
7240,外澳,5,118250.0,4.23,0.4,0.664
6000,臺東,143,5880614.0,2.43,0.615,0.657
6130,瑞穗,18,632802.0,2.84,0.167,0.592
3431,源泉,1,23618.0,4.23,0.0,0.569
1060,山佳,36,1571494.0,2.29,0.194,0.553
1203,竹東,12,443877.0,2.7,0.5,0.549
7260,大溪,6,200190.0,3.0,0.333,0.546
7180,二結,4,125741.0,3.18,0.5,0.544
0980,南港,189,12076280.0,1.57,0.344,0.509
7210,礁溪,34,1658602.0,2.05,0.176,0.507
5190,大武,5,189583.0,2.64,0.4,0.487
7000,花蓮,165,11283904.0,1.46,0.612,0.475
2230,沙鹿,44,2459357.0,1.79,0.545,0.472
7335,平溪,6,259437.0,2.31,0.333,0.449
4400,高雄,171,12912713.0,1.32,0.608,0.44
1030,浮洲,44,2844283.0,1.55,0.591,0.417
4080,嘉義,122,9471785.0,1.29,0.516,0.41
7010,北埔,3,129785.0,2.31,0.0,0.408
1208,內灣,8,416454.0,1.92,0.625,0.397
7336,菁桐,5,257771.0,1.94,0.6,0.372
1191,千甲,5,263199.0,1.9,0.4,0.365
1180,竹北,55,4933099.0,1.11,0.491,0.308
4060,民雄,20,1717997.0,1.16,0.5,0.264
5000,屏東,85,9698372.0,0.88,0.494,0.244
7310,雙溪,9,722434.0,1.25,0.444,0.242
4360,內惟,9,721684.0,1.25,0.111,0.242
0990,松山,121,15720847.0,0.77,0.405,0.216
3300,臺中,165,23122732.0,0.71,0.782,0.207
1192,新莊,18,1773425.0,1.01,0.389,0.206
4320,橋頭,13,1322398.0,0.98,0.231,0.175
1160,湖口,28,3236007.0,0.87,0.5,0.173
7361,海科館,1,74745.0,1.34,0.0,0.137
1070,鶯歌,56,8095040.0,0.69,0.321,0.13
4110,後壁,5,506475.0,0.99,0.4,0.119
6250,吉安,5,515893.0,0.97,0.2,0.112
7362,八斗子,2,185173.0,1.08,0.5,0.098
3470,斗六,35,5376398.0,0.65,0.314,0.08
5220,太麻里,2,195322.0,1.02,0.5,0.078
3480,斗南,14,1868981.0,0.75,0.357,0.077
1120,楊梅,28,4465390.0,0.63,0.214,0.052
3360,彰化,67,12519636.0,0.54,0.537,0.045
7330,三貂嶺,2,217284.0,0.92,0.0,0.038
1140,新富,1,98781.0,1.01,0.0,0.033
7130,蘇澳新,5,647395.0,0.77,0.8,0.027
6050,關山,4,530290.0,0.75,0.0,0.005
4220,臺南,102,23907775.0,0.43,0.078,-0.015
3240,栗林,5,773543.0,0.65,0.2,-0.039
1230,香山,3,556549.0,0.54,0.667,-0.138
6180,鳳林,2,358470.0,0.56,0.5,-0.149
7350,猴硐,3,600113.0,0.5,0.0,-0.166
4330,楠梓,9,2156956.0,0.42,0.222,-0.168
6240,志學,2,384029.0,0.52,1.0,-0.175
5120,枋寮,5,1130062.0,0.44,0.2,-0.181
7100,東澳,1,176749.0,0.57,0.0,-0.185
3330,烏日,3,635554.0,0.47,0.333,-0.188
4170,善化,12,3188885.0,0.38,1.0,-0.19
1000,臺北,140,55157801.0,0.25,0.05,-0.191
4100,南靖,1,184237.0,0.54,1.0,-0.201
1190,北新竹,8,2219216.0,0.36,0.125,-0.23
3420,田中,8,2295505.0,0.35,1.0,-0.243
6020,鹿野,1,207158.0,0.48,1.0,-0.245
3400,永靖,2,475022.0,0.42,0.0,-0.255
7390,暖暖,2,475447.0,0.42,0.5,-0.255
4130,柳營,3,762516.0,0.39,0.667,-0.256
7320,牡丹,1,213946.0,0.47,1.0,-0.257
5010,歸來,1,230880.0,0.43,0.0,-0.285
3260,頭家厝,2,530900.0,0.38,0.5,-0.296
5050,潮州,10,3520768.0,0.28,0.5,-0.306
6080,富里,1,252871.0,0.4,0.0,-0.319
4390,三塊厝,2,581423.0,0.34,0.5,-0.33
6070,池上,2,609069.0,0.33,0.5,-0.348
1220,三姓橋,3,1086165.0,0.28,0.333,-0.388
3450,林內,2,721590.0,0.28,0.5,-0.411
1250,竹南,15,7830032.0,0.19,0.667,-0.429
3150,豐富,2,822512.0,0.24,1.0,-0.46
1110,埔心,10,5447899.0,0.18,0.0,-0.469
2240,龍井,1,377942.0,0.26,1.0,-0.47
1194,六家,6,3020182.0,0.2,1.0,-0.47
4270,中洲,1,384697.0,0.26,0.0,-0.477
7290,福隆,2,914074.0,0.22,0.5,-0.5
0900,基隆,12,7558114.0,0.16,0.583,-0.513
3410,社頭,2,976433.0,0.2,0.0,-0.525
1170,新豐,8,5249868.0,0.15,0.5,-0.553
7120,蘇澳,1,505115.0,0.2,1.0,-0.579
7030,新城,1,510876.0,0.2,0.0,-0.583
5210,金崙,1,516700.0,0.19,0.0,-0.587
1010,萬華,6,4148741.0,0.14,0.0,-0.589
7150,冬山,1,523352.0,0.19,0.0,-0.592
4450,後庄,1,568976.0,0.18,1.0,-0.623
3160,苗栗,6,5148022.0,0.12,0.5,-0.67
7380,四腳亭,1,677158.0,0.15,0.0,-0.688
4070,嘉北,1,695209.0,0.14,1.0,-0.698
3190,三義,1,700403.0,0.14,0.0,-0.701
5230,知本,1,718650.0,0.14,1.0,-0.711
5030,西勢,1,728181.0,0.14,0.0,-0.716
4410,民族,1,782856.0,0.13,1.0,-0.743
4350,左營,1,795454.0,0.13,0.0,-0.749
3370,花壇,1,1059851.0,0.09,0.0,-0.856
2130,後龍,1,1113811.0,0.09,1.0,-0.875
2220,清水,1,1136034.0,0.09,1.0,-0.882
1050,南樹林,1,1167509.0,0.09,0.0,-0.892
4370,美術館,1,1187491.0,0.08,1.0,-0.899
3290,精武,1,1232930.0,0.08,0.0,-0.913
0960,汐止,6,9969593.0,0.06,0.5,-0.918
4150,隆田,1,1249982.0,0.08,0.0,-0.918
4420,科工館,1,1281658.0,0.08,1.0,-0.927
4050,大林,1,1438198.0,0.07,0.0,-0.971
1130,富岡,1,1705974.0,0.06,1.0,-1.035
2200,大甲,1,2541872.0,0.04,0.0,-1.184
0930,七堵,2,5778255.0,0.03,0.5,-1.191
3320,大慶,1,2745499.0,0.04,0.0,-1.213
0970,汐科,2,10434998.0,0.02,0.0,-1.412
1090,內壢,1,8571924.0,0.01,0.0,-1.639
